id,time,latitude,longitude,wifi,addr
52,29MAR2013:07:55:33,43.70732117,-72.28917895,,Chinese Language House; 36; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:08:15:47,43.70711450,-72.28892130,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:08:35:46,43.70714900,-72.28889690,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:08:55:34,43.70741712,-72.28918583,,Chinese Language House; 36; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:09:15:47,43.70712520,-72.28880770,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:09:35:44,43.70716210,-72.28890800,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:09:55:46,43.70872380,-72.28422840,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:10:15:45,43.70862500,-72.28435290,,Vail; 74; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:10:35:46,43.70878610,-72.28421640,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:10:55:47,43.70860110,-72.28420460,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:11:15:45,43.70724210,-72.28895860,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:11:35:49,43.70289690,-72.29097310,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:11:55:45,43.70715130,-72.28884670,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:12:15:46,43.70711950,-72.28887170,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:12:35:47,43.70631250,-72.28901550,,Haldeman Center; 29; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:12:55:47,43.70628860,-72.28893900,,Haldeman Center; 29; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:13:15:45,43.70629680,-72.28915120,,Haldeman Center; 29; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:13:35:45,43.70617410,-72.28922800,,Haldeman Center; 29; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:13:55:34,43.70716990,-72.28896662,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:14:15:45,43.70714960,-72.28885420,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:14:35:46,43.70710000,-72.28888770,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:14:55:47,43.70711730,-72.28893970,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:15:15:46,43.70709940,-72.28888580,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:15:35:45,43.70715020,-72.28887730,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:15:55:46,43.70715190,-72.28885550,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:16:15:46,43.70711760,-72.28894010,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:16:35:45,43.70709840,-72.28889320,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:16:55:46,43.70726920,-72.28905790,,Chinese Language House; 36; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:17:15:46,43.70305870,-72.29054110,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:17:35:46,43.70303500,-72.29064680,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:17:55:46,43.70306770,-72.29060110,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:18:15:46,43.70306800,-72.29060110,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:18:35:46,43.70310190,-72.29086170,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
